datetime (YYYY-MM-DD hh:mm:ss),configuration,outdoor air temperature (C),cell A boiler (Wh/sqft),cell B boiler (Wh/sqft),cell A chiller (Wh/sqft),cell B chiller (Wh/sqft),cell A ahu fan (Wh/sqft),cell B ahu fan (Wh/sqft),cell A hw pump (Wh/sqft),cell B hw pump (Wh/sqft),cell A hvac energy (Wh/sqft),cell B hvac energy (Wh/sqft)
2019-10-21 17:00:00,CorePlus-S,24.596769189027782,0.0,0.0,0.79976226923569,0.6113823433997992,0.18612284379328703,0.1458882098034722,0.0752548585636574,0.07804044454305556,1.0611399715926344,0.835310997746327
2019-10-21 18:00:00,CorePlus-S,23.904726759364053,0.0,0.0,0.7938970673275669,0.34348484182753575,0.15436742753240743,0.12338799297986111,0.07531039242407407,0.0780119087824074,1.0235748872840484,0.5448847435898042
2019-10-21 19:00:00,CorePlus-S,24.220304099305555,0.16749323514708292,0.0,0.11733921633672563,0.0,0.0906373949939815,0.049032940215046304,0.07562860173657408,0.07842375170787036,0.4510984482143641,0.12745669192291667
2019-10-21 20:00:00,CorePlus-S,23.32557763013889,0.15474267284588558,0.0,0.0,0.0,0.0902831560472222,0.047593930723148145,0.07565275343333336,0.07832436789837963,0.32067858232644114,0.12591829862152776
2019-10-21 21:00:00,CorePlus-S,23.99640524541666,0.1528457422369101,0.0,0.0,0.0,0.09028876067013888,0.04756932399675926,0.07556072717546297,0.07826065979259259,0.318695230082512,0.12582998378935184
2019-10-21 22:00:00,CorePlus-S,24.03716439069445,0.15281949700796488,0.0,0.0,0.0,0.09059781563587967,0.04780045157268519,0.0754688549460648,0.0781721428039352,0.31888616758990934,0.1259725943766204
2019-10-21 23:00:00,CorePlus-S,23.00255297861111,0.1521031351082857,0.0,0.0,0.0,0.09083949037847222,0.04798656622986111,0.0753746572152778,0.07800432889953704,0.3183172827020357,0.12599089512939815
2019-10-22 00:00:00,CorePlus-S,22.642318301250004,0.15199403232653957,0.0,0.0,0.0,0.09097998827824075,0.04808119061574074,0.07531568291435184,0.07795235773032407,0.31828970351913216,0.1260335483460648
2019-10-22 01:00:00,CorePlus-S,22.401588825416663,0.15269538455389053,0.0,0.0,0.0,0.09113123956342593,0.04822002489976852,0.07528327027245371,0.07797559748726851,0.3191098943897702,0.12619562238703702
2019-10-22 02:00:00,CorePlus-S,22.080620548333332,0.1570304651322412,0.0,0.0,0.0,0.09123312130925927,0.04833377289444444,0.07536783060648149,0.07806779462060184,0.323631417047982,0.12640156751504628
2019-10-22 03:00:00,CorePlus-S,22.225734901111114,0.15766929887427833,0.0,0.0,0.0,0.09136456427569445,0.04844227897453704,0.07540179362453706,0.07814476885717593,0.3244356567745098,0.12658704783171298
2019-10-22 04:00:00,CorePlus-S,22.10189942902777,0.15560686038287275,0.0,0.0,0.0,0.09106917469305556,0.04821226798263889,0.07548367666967594,0.0781457229497685,0.32215971174560426,0.1263579909324074
2019-10-22 05:00:00,CorePlus-S,21.169640112638895,0.14776107119445697,0.0,0.0,0.0,0.09102970327777779,0.048145190942592585,0.07525700899606481,0.07789827302152777,0.3140477834682996,0.12604346396412036
2019-10-22 06:00:00,CorePlus-S,20.125784953750003,0.15299547922193318,0.0,0.0,0.5362134928587066,0.09067340860972224,0.12959782923634258,0.07509350868356483,0.07772367909976853,0.31876239651522026,0.7435350011948176
2019-10-22 07:00:00,CorePlus-S,20.346830205138893,0.15226643995974376,0.5287160097957216,0.0,0.8400227290663584,0.0905263021712963,0.1851281943238426,0.07508224369375,0.07798144017175927,0.31787498582479007,1.6318483733576818
2019-10-22 08:00:00,CorePlus-S,20.113593878750002,0.03312872308796939,0.0,0.5104774128335532,0.2239725682594619,0.09436036299837963,0.09351401337407408,0.07519146126481482,0.07821627675185186,0.7131579601847171,0.3957028583853879
2019-10-22 09:00:00,CorePlus-S,20.64372734513888,0.0,0.0,0.8645561121621613,0.2847678512115253,0.13061223091574073,0.09199756796504628,0.07512186135694443,0.0781451566888889,1.0702902044348463,0.45491057586546046
2019-10-22 10:00:00,CorePlus-S,21.145771413744676,0.0,0.0,0.9372240604421123,0.40246852538396255,0.14102826626412038,0.12094923351412036,0.07529252819120373,0.0782938343263889,1.1535448548974365,0.6017115932244719
2019-10-22 11:00:00,CorePlus-S,22.34267544472222,0.0,0.0,0.810642828569664,0.4062046985762672,0.12826063849027777,0.10527220664814813,0.0754007202960648,0.0782517686201389,1.0143041873560066,0.5897286738445542
2019-10-22 12:00:00,CorePlus-S,25.107892747361117,0.0,0.0,0.8754637013230459,0.5746814345013553,0.16716303373796296,0.10804647408819447,0.07536610565949073,0.07824162299236109,1.1179928407204995,0.7609695315819109
2019-10-22 13:00:00,CorePlus-S,27.757065416527777,0.0,0.0,1.1177127401801246,0.7146062712613168,0.2697345459909722,0.1397957970810185,0.0754954899138889,0.07830359497361111,1.4629427760849856,0.9327056633159465
2019-10-22 14:00:00,CorePlus-S,28.196948146250005,0.0,0.0,1.0206068593999165,0.7608903774998315,0.24515892677824075,0.1633988938324074,0.07557312714236111,0.07837886379791666,1.3413389133205185,1.0026681351301554
2019-10-22 15:00:00,CorePlus-S,26.906079575694445,0.0,0.0,1.0722200765329115,0.9374657663603762,0.25475675611689813,0.18490866635902778,0.07549861515717594,0.07833742729583332,1.4024754478069856,1.200711860015237
2019-10-22 16:00:00,CorePlus-S,25.88770441138889,0.0,0.0,1.08047717353375,0.9133526477372628,0.26512510478055556,0.1795804962270833,0.07547847002291667,0.0783437751747685,1.4210807483372223,1.1712769191391146
2019-10-22 17:00:00,CorePlus-S,24.977290939583327,0.0,0.0,0.8406300005573651,0.6961571158072136,0.18855051003634263,0.15029819106805556,0.07539309190740738,0.07830751042939817,1.104573602501115,0.9247628173046674
2019-10-22 18:00:00,CorePlus-S,22.989883636944448,0.0,0.0,0.8390328780458253,0.36445130650723745,0.1606485204222222,0.12928631092083334,0.0753920738210648,0.07817689657314814,1.0750734722891122,0.571914514001219
2019-10-22 19:00:00,CorePlus-S,22.488593026805557,0.16332689230738387,0.0,0.11864919325508573,0.0,0.08988195595023148,0.04818508115601852,0.07522431761087964,0.07807952279212962,0.44708235912358074,0.12626460394814815
2019-10-22 20:00:00,CorePlus-S,23.985095452499998,0.1523829390215222,0.0,0.0,0.0,0.09053263326782406,0.047802621300462964,0.07566709891157407,0.07847037960462963,0.3185826712009203,0.12627300090509258
2019-10-22 21:00:00,CorePlus-S,24.86559470861111,0.15247782449616937,0.0,0.0,0.0,0.090572707068287,0.047789634211574075,0.07572772176643519,0.07862391410138887,0.3187782533308916,0.12641354831296295
2019-10-22 22:00:00,CorePlus-S,24.55960649722222,0.1528103239489371,0.0,0.0,0.0,0.0907159302599537,0.04788033528773149,0.07578679377013889,0.0786057698446759,0.3193130479790297,0.12648610513240738
2019-10-22 23:00:00,CorePlus-S,24.34098127027778,0.1538131999488528,0.0,0.0,0.0,0.09019607308171299,0.04775552232638888,0.07568513278703702,0.07851248557569444,0.31969440581760283,0.1262680079020833
2019-10-23 00:00:00,CorePlus-S,24.008793166944436,0.15259007783984982,0.0,0.0,0.0,0.09050326301157409,0.04778153036643518,0.07565564150231482,0.07861238473402778,0.3187489823537387,0.12639391510046297
2019-10-23 01:00:00,CorePlus-S,23.165363243888887,0.15222906708774472,0.0,0.0,0.0,0.09072552013703704,0.047911726902314815,0.07566792731574075,0.07860340877662036,0.3186225145405225,0.1265151356789352
2019-10-23 02:00:00,CorePlus-S,22.004520868333334,0.1552334488576463,0.0,0.0,0.0,0.09092401472407406,0.04809234313703704,0.07546568499004627,0.07844735561087962,0.32162314857176666,0.12653969874791665
2019-10-23 03:00:00,CorePlus-S,21.464019827714605,0.156962566790945,0.0,0.0,0.0,0.09101020957708335,0.04815837331180555,0.07532725630601851,0.07833847415231482,0.32330003267404683,0.12649684746412038
2019-10-23 04:00:00,CorePlus-S,22.229290850833326,0.1572987916571783,0.0,0.0,0.0,0.09080374708356481,0.04804131267268519,0.07559109886712961,0.07844632463935185,0.32369363760787273,0.12648763731203705
2019-10-23 05:00:00,CorePlus-S,21.45743805277778,0.03888108675801767,0.0,0.6194116864764747,0.0,0.09746432825532407,0.047904430120833334,0.07535561468796297,0.0782158846863426,0.8311127161777794,0.12612031480717592
2019-10-23 06:00:00,CorePlus-S,21.264288195833338,0.08626791885251496,0.0,0.36664237749212086,0.7736920880531558,0.09061199395694444,0.17739945815046293,0.07526832688101852,0.07807487661805555,0.6187906171825988,1.0291664228216741
2019-10-23 07:00:00,CorePlus-S,20.463203453194446,0.10179620212429609,1.7776446310556304,0.17742276067788434,0.8733250911929838,0.09030259685069444,0.18049527555208333,0.07528842993680557,0.07816892080069443,0.4448099895896805,2.909633918601392
2019-10-23 08:00:00,CorePlus-S,20.729620442222224,0.006468412801502747,0.0,0.5756564032208706,0.28359183574743385,0.09485092924282408,0.09310149571875,0.07537846054212965,0.07828359509513888,0.7523542058073271,0.4549769265613227
2019-10-23 09:00:00,CorePlus-S,20.722935346944443,0.0,0.0,0.7986414617139025,0.24519757063833125,0.11812950249930558,0.09458554178657406,0.07535883334699076,0.07822787204768519,0.9921297975601988,0.41801098447259055
2019-10-23 10:00:00,CorePlus-S,21.555887475555558,0.0,0.0,0.7499035442933685,0.47248858672398275,0.13404820585416666,0.1375613983115741,0.07552439398518519,0.07823503449537036,0.9594761441327203,0.6882850195309272
2019-10-23 11:00:00,CorePlus-S,24.66328108708334,0.0,0.0,0.7100448545354688,0.93329750844884,0.14116404444675928,0.14945389275254628,0.07546602281921296,0.07815609387222223,0.9266749218014412,1.1609074950736087
